rf_code;rf_type;rf_design;rf_fabric;rf_etat;rf_comment;rf_creadat;rf_majdate;rf_majsrc;rf_abddate;rf_abdsrc
RA000000100043;BA;Ideaoptical|IBER-1635-RES-Outdoor|28U-19pouce;;;;;;;;
FI000000000713;CA;PRYSMIANTF104G - 432Fo - Modulo [12] - FT||FTETC - G657A1 - Conduite|36|432|36@12|63;;;;;;;;
FI000000000316;CA;NEXANSSP1105 - 36Fo - Modulo [12] - ldcom - G652D|3|36|3@12|4;;;;;;;;
FI000000000558;CA;NEXANSSP1731 - 576Fo - Modulo[12] FT - G657A|48|576|48@12||4@12|5;;;;;;;;
CR000000000304;CA;CableRacco 1 fibre;;;;;;;;
FI000000000694;CA;ACOMEUND1636 - [N9866A] - 12Fo - Modulo [6] - FT - G657A2 - LSOH|2|12|2@6|5;;;;;;;;
FI000000000706;CA;PRYSMIANFTUF0136D - 48Fo - Modulo [6] - FT- G657A2 - Aérien - Conduite|8|48|8@6|5;;;;;;;;
FI000000000700;CA;ACOMEUND1533 - [N9663D] - 24Fo - Modulo [6] - FT - G657A2 - Conduite|4|24|4@6|5;;;;;;;;
FI000000000701;CA;ACOMEUND1533 - [N9229E] - 48Fo - Modulo [6] - FT - G657A2 - Conduite|8|48|8@6|5;;;;;;;;
FI000000000575;CA;NEXANSSP1661 - 72Fo - Modulo [12] - FT - G657A|6|72|6@12|5;;;;;;;;
FI000000000508;CA;NEXANSSP1516 - 288Fo - Modulo [12] - FT type 1 bague - G657A|24|288|24@12|33;;;;;;;;
FI000000001280;CA;GENERIQUE144Fo - Modulo [6] - FT - G657|24|144|24@6|55;;;;;;;;
FI000000000702;CA;ACOMEUND1533 - [N9230D] - 72Fo - Modulo [6] - FT - G657A2 - Conduite|12|72|12@6|5;;;;;;;;
FI000000000632;CA;NEXANSSP 1794 - 24FO - Modulo [6] - FT - G657A1|4|24|4@6|5;;;;;;;;
FI000000000510;CA;NEXANSSP1603 - 12Fo - Modulo [6] - FT - G657A|2|12|2@6|5;;;;;;;;
FI000000000711;CA;PRYSMIANTF103G - 144Fo - Modulo [12] - FT - G657A1 - Conduite|12|144|12@12|5;;;;;;;;
FI000000000704;CA;PRYSMIANFTUF0136D - 24Fo - Modulo [6] - FT - G657A2 - Aérien - Conduite|4|24|4@6|5;;;;;;;;
FI000000000712;CA;PRYSMIANTF103G - 288Fo - Modulo [12] - FT||FTETC - G657A1 - Conduite|24|288|24@12|63;;;;;;;;
TR000000005600;CS;Generique|cassette|Cassette 12Fo|12;;;;;;;;
CSV00000000001;CS;Cassette virtuelle;;;;;;;;
OP000000003313;CS;IDEAOPTICAL|Module 24 FO|Distribution|24;;;;;;;;
OP000000003293;CS;IDEAOPTICAL|Module 24|Distribution|24;;;;;;;;
TR000000005601;CS;Generique|cassette|Cassette 24Fo|24;;;;;;;;
BL000000004824;BP;3M|BPEO T0;;;;;;;;
BL000000004822;BP;3M|PBO T1;;;;;;;;
EN000000000207;BP;3M|BPEO2;;;;;;;;
EN000000000220;BP;3M|FQ-1000-7430-8;;;;;;;;
PTO00000005100;BP;Prise Monofibre;;;;;;;;
EN000000000206;BP;3M|BPEO1;;;;;;;;
BL000000004816;BP;3M|PBPO-24;;;;;;;;
EN000000000208;BP;3M|BPEO3;;;;;;;;
EN000000000254;BP;3M|BPEO T0;;;;;;;;
EN000000000239;BP;Tyco|FIST GCO2-FR6;;;;;;;;
EN000000000260;BP;3M|BPEO T1.5;;;;;;;;
SH000000010163;TI;Ideaoptical|ITOM-144|Tiroir 3U - Connecteurs SC APC;;;;;;;;
CT00000000Z303;CT;Z303.dwg;;;;;;;;
